location,count,latitude,longitude
Banja Luka,1719,44.7720845,17.1917651
Sarajevo - Novi Grad,1248,43.868149349999996,18.333916770889445
Tuzla,930,44.5391105,18.675193
Bijeljina,896,44.7568464,19.2156628
Zenica,813,44.199828,17.9093012
Brčko,776,44.8771222,18.8095022
Ilidža,730,43.8306182,18.3077357
Visoko,726,43.9894986,18.1816434
Mostar,674,43.3435855,17.8076584
Sarajevo - Centar,670,43.899231150000006,18.41516109508645
Kiseljak,662,43.9431668,18.0774711
Živinice,611,44.451574,18.6501306
Sarajevo - Novo Sarajevo,560,43.8588926,18.3995832
Tešanj,511,44.6133803,17.9862488
Gradačac,467,44.8781486,18.4254813
Ljubuški,416,43.1963022,17.5447857
Doboj,393,44.7313612,18.0847183
Prijedor,340,44.9805039,16.7131197
Vogošća,339,43.901488,18.3433749
Srebrenik,314,44.7048957,18.4912709
Prnjavor,303,44.8686369,17.6631777
Sarajevo - Stari Grad,274,43.896662649999996,18.456308322468107
Gradiška,272,45.1465631,17.2551445
Travnik,270,44.2259454,17.6661738
Doboj Jug,263,44.679860700000006,18.057909900538036
Velika Kladuša,262,45.1843299,15.8069257
Kakanj,256,44.128571,18.1184071
Kalesija,250,44.4429857,18.8756758
Zvornik,238,44.3854067,19.1027717
Široki Brijeg,236,43.3831944,17.5929153
