location,count,latitude,longitude
Banja Luka,4227,44.7720845,17.1917651
Sarajevo - Novi Grad,2909,43.868149349999996,18.333916770889445
Kiseljak,2215,43.9431668,18.0774711
Tuzla,2193,44.5391105,18.675193
Bijeljina,2177,44.7568464,19.2156628
Zenica,2118,44.199828,17.9093012
Ilidža,1979,43.8306182,18.3077357
Mostar,1876,43.3435855,17.8076584
Visoko,1798,43.9894986,18.1816434
Živinice,1645,44.451574,18.6501306
Sarajevo - Novo Sarajevo,1520,43.8588926,18.3995832
Sarajevo - Centar,1481,43.899231150000006,18.41516109508645
Tešanj,1466,44.6133803,17.9862488
Brčko,1342,44.8771222,18.8095022
Gradačac,1043,44.8781486,18.4254813
Doboj,1024,44.7313612,18.0847183
Prijedor,961,44.9805039,16.7131197
Travnik,905,44.2259454,17.6661738
Gradiška,847,45.1465631,17.2551445
Doboj Jug,824,44.679860700000006,18.057909900538036
Vogošća,779,43.901488,18.3433749
Ljubuški,766,43.1963022,17.5447857
Vitez,746,44.150409,17.791462
Lukavac,722,44.5344136,18.5325309
Široki Brijeg,708,43.3831944,17.5929153
Kakanj,684,44.128571,18.1184071
Srebrenik,666,44.7048957,18.4912709
Prnjavor,664,44.8686369,17.6631777
Bihać,653,44.8146563,15.86896
Sarajevo - Stari Grad,651,43.896662649999996,18.456308322468107
